taxon	SRS013506	SRS013506_filtered	SRS014475	SRS014475_filtered	SRS014689	SRS014689_filtered	SRS019352	SRS019352_filtered	SRS050029	SRS050029_filtered	SRS054569	SRS054569_filtered	SRS056042	SRS056042_filtered	SRS065335	SRS065335_filtered	SRS097885	SRS097885_filtered	SRS098585	SRS098585_filtered	SRS1041031	SRS1041031_filtered	SRS1041129	SRS1041129_filtered	SRS104912	SRS104912_filtered	SRS105082	SRS105082_filtered	SRS142957	SRS142957_filtered	SRS143032	SRS143032_filtered	SRS143776	SRS143776_filtered	SRS144378	SRS144378_filtered	SRS146847	SRS146847_filtered	SRS147088	SRS147088_filtered	camisim_SRS013506_filtered	camisim_SRS014475_filtered	camisim_SRS014689_filtered	camisim_SRS019352_filtered	camisim_SRS050029_filtered	camisim_SRS054569_filtered	camisim_SRS056042_filtered	camisim_SRS065335_filtered	camisim_SRS097885_filtered	camisim_SRS098585_filtered	camisim_SRS1041031_filtered	camisim_SRS1041129_filtered	camisim_SRS104912_filtered	camisim_SRS105082_filtered	camisim_SRS142957_filtered	camisim_SRS143032_filtered	camisim_SRS143776_filtered	camisim_SRS144378_filtered	camisim_SRS146847_filtered	camisim_SRS147088_filtered	mess_SRS013506_filtered	mess_SRS014475_filtered	mess_SRS014689_filtered	mess_SRS019352_filtered	mess_SRS050029_filtered	mess_SRS054569_filtered	mess_SRS056042_filtered	mess_SRS065335_filtered	mess_SRS097885_filtered	mess_SRS098585_filtered	mess_SRS1041031_filtered	mess_SRS1041129_filtered	mess_SRS104912_filtered	mess_SRS105082_filtered	mess_SRS142957_filtered	mess_SRS143032_filtered	mess_SRS143776_filtered	mess_SRS144378_filtered	mess_SRS146847_filtered	mess_SRS147088_filtered
1902136	15438	15438	197	0	2429	2429	12012	12012	10539	10539	36995	36995	1333	1333	415	415	12	0	128	0	2	0	12	0	9	0	7	0	0	0	3	0	0	0	243	243	153	0	770	770	15385	0	2540	11798	10780	36174	1372	431	0	0	0	0	0	0	0	0	0	245	0	791	15421	0	2566	11965	10827	36041	1379	432	0	0	0	0	0	0	0	0	0	247	0	790
2975349	13429	13429	185	0	1955	1955	10162	10162	10578	10578	22118	22118	3712	3712	279	279	44	0	129	0	13	0	12	0	18	0	4	0	0	0	73	0	1	0	176	0	163	0	928	928	10589	0	1727	8868	9245	17576	3050	228	0	0	0	0	0	0	0	0	0	0	0	801	10650	0	1785	8776	9376	17886	3002	240	0	0	0	0	0	0	0	0	0	0	0	839
28131	11948	11948	1427	1427	56648	56648	810	810	882	882	9295	9295	641	641	33468	33468	3	0	259	259	665	665	348	348	37614	37614	3297	3297	3	0	389	389	0	0	7423	7423	14	0	4017	4017	11994	1433	56176	858	959	9146	624	33216	0	261	702	412	37078	3392	0	392	0	7358	0	4114	11983	1395	56260	808	871	9159	649	33263	0	254	771	421	37288	3499	0	389	0	7414	0	4030
28133	11771	11771	1521	1521	102726	102726	451	451	1476	1476	4933	4933	1531	1531	43574	43574	14	0	188	0	124	0	246	246	8298	8298	1227	1227	2	0	127	0	1	0	527	527	3	0	5572	5572	11411	1497	98237	429	1426	4710	1443	41337	0	0	0	289	8019	1207	0	0	0	532	0	5348	11390	1443	98039	441	1414	4679	1515	41673	0	0	0	251	8027	1264	0	0	0	533	0	5269
1318	11597	11597	7697	7697	189946	189946	1054	1054	100559	100559	14906	14906	6588	6588	24844	24844	42	0	247	247	494	494	92	0	255	255	159	0	5	0	1031	1031	0	0	7323	7323	34	0	95005	95005	10938	7108	177936	1103	95249	14700	6044	23236	0	210	412	0	247	0	0	983	0	6491	0	90091	10998	7027	178365	1116	95759	14535	6056	23137	0	217	449	0	223	0	0	936	0	6418	0	91244
1328	11525	11525	196	0	3118	3118	979	979	4218	4218	38758	38758	991	991	1308	1308	18	0	46	0	84	0	78	0	111	0	110	0	25	0	11	0	0	0	24065	24065	1931	1931	842	842	11307	0	4044	1047	4765	36676	974	1331	0	0	0	0	0	0	0	0	0	22715	1837	979	11326	0	3586	1029	5709	37133	977	1402	0	0	0	0	0	0	0	0	0	23005	1791	986
712624	10786	10786	136	0	2854	2854	19798	19798	6703	6703	15921	15921	3658	3658	223	223	140	0	101	0	6	0	4	0	22	0	0	0	0	0	8	0	1	0	99	0	104	0	2032	2032	7730	0	2379	15485	5875	11447	2770	0	0	0	0	0	0	0	0	0	0	0	0	1778	7812	0	2341	15692	5732	11497	2765	203	0	0	0	0	0	0	0	0	0	0	0	1766
28449	10204	10204	2494	2494	30	0	2024	2024	21868	21868	142781	142781	7365	7365	118281	118281	9	0	103	0	20	0	22	0	683	683	104	0	7	0	197	0	3	0	1085	1085	1	0	37481	37481	9775	2533	0	2022	21754	146390	9924	122225	0	0	0	0	648	0	0	0	0	1016	0	37711	9739	2614	0	2028	21900	145620	9586	123397	0	0	0	0	647	0	0	0	0	1023	0	37573
2576376	9985	9985	153	0	1807	1807	5374	5374	14650	14650	19178	19178	1202	1202	578	578	9	0	78	0	4	0	9	0	15	0	1	0	0	0	10	0	0	0	159	0	111	0	853	853	8723	0	1738	5118	13517	16985	1143	527	0	0	0	0	0	0	0	0	0	0	0	835	8839	0	1781	5106	13580	16913	1164	529	0	0	0	0	0	0	0	0	0	0	0	852
3038077	9647	9647	225	225	1880	1880	9883	9883	13945	13945	21083	21083	1877	1877	207	207	32	0	130	0	3	0	11	0	60	0	4	0	0	0	8	0	0	0	143	0	97	0	1012	1012	8202	0	1708	8730	12354	17081	1671	208	0	0	0	0	0	0	0	0	0	0	0	980	8107	0	1705	8817	12352	17351	1578	211	0	0	0	0	0	0	0	0	0	0	0	921
