task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
106	8d/f97a24	83679	RUN:CAMISIM:SEQKIT_SPLIT2 (80)	COMPLETED	0	2024-09-19 03:00:39.386	5s	3s	371.5%	71 MB	1.3 GB	669.9 MB	307.2 MB
67	f1/21dbe3	83640	RUN:CAMISIM:SIMULATE (160)	COMPLETED	0	2024-09-19 01:33:04.246	2h 50m 55s	2h 34m 13s	204.4%	39.7 GB	51.9 GB	159.8 GB	281.5 GB
107	4b/b06127	83680	RUN:CAMISIM:CAT_FASTQ (160)	COMPLETED	0	2024-09-19 04:23:59.537	5s	446ms	99.7%	4 MB	23 MB	630.7 MB	630.6 MB
108	84/fa7d54	83681	RUN:CAMISIM:SEQKIT_SORT (160)	COMPLETED	0	2024-09-19 04:24:04.521	20s	19s	183.7%	7.8 GB	9 GB	630.7 MB	1.2 GB
109	86/9e928e	83682	RUN:CAMISIM:SEQKIT_SPLIT2 (160)	COMPLETED	0	2024-09-19 04:24:24.523	10s	5s	381.9%	73 MB	1.3 GB	1.2 GB	574.9 MB
79	55/9ccd9f	83650	RUN:CAMISIM:SIMULATE (320)	COMPLETED	0	2024-09-19 01:36:04.237	5h 20m 16s	5h 5m	286.9%	41.9 GB	54.1 GB	489.3 GB	962.4 GB
110	62/1f50c8	83683	RUN:CAMISIM:CAT_FASTQ (320)	COMPLETED	0	2024-09-19 06:56:19.843	5s	702ms	100.3%	4 MB	23 MB	1.2 GB	1.2 GB
111	c7/a31475	83684	RUN:CAMISIM:SEQKIT_SORT (320)	COMPLETED	0	2024-09-19 06:56:24.814	45s	41s	235.6%	14.9 GB	16.1 GB	1.2 GB	2.3 GB
112	44/7ff40c	83685	RUN:CAMISIM:SEQKIT_SPLIT2 (320)	COMPLETED	0	2024-09-19 06:57:09.814	15s	10s	381.6%	71 MB	1.3 GB	2.3 GB	1.1 GB
88	7a/a28e58	83661	RUN:CAMISIM:SIMULATE (640)	COMPLETED	0	2024-09-19 01:42:34.252	13h 32m 37s	12h 47m 30s	418.7%	45.6 GB	58 GB	1.7 TB	3.7 TB
113	15/9a1498	86091	RUN:CAMISIM:CAT_FASTQ (640)	COMPLETED	0	2024-09-19 15:15:10.842	4.9s	1.7s	99.9%	4 MB	23 MB	2.4 GB	2.4 GB
114	67/b0bb2e	86092	RUN:CAMISIM:SEQKIT_SORT (640)	COMPLETED	0	2024-09-19 15:15:15.804	1m 30s	1m 27s	238.2%	30.6 GB	31.8 GB	2.4 GB	4.9 GB
115	8b/09550e	86100	RUN:CAMISIM:SEQKIT_SPLIT2 (640)	COMPLETED	0	2024-09-19 15:16:45.829	25s	21s	379.8%	73 MB	1.3 GB	4.9 GB	2.2 GB
